Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,34.4,34.5,34.5,34.4,34.5,34.5,34.4,34.5,34.4,34.4,34.4,34.3
2014,34.4,34.3,34.5,34.5,34.5,34.5,34.5,34.6,34.5,34.5,34.6,34.6
2015,34.5,34.6,34.5,34.5,34.5,34.5,34.5,34.6,34.5,34.5,34.5,34.5
2016,34.6,34.4,34.4,34.4,34.4,34.4,34.4,34.3,34.4,34.4,34.3,34.4
2017,34.4,34.3,34.3,34.4,34.4,34.4,34.4,34.4,34.3,34.4,34.5,34.4
2018,34.4,34.5,34.5,34.5,34.5,34.6,34.5,34.5,34.4,34.5,34.4,34.5
2019,34.5,34.4,34.5,34.4,34.4,34.4,34.4,34.4,34.4,34.3,34.3,34.3
2020,34.3,34.4,34.1,34.2,34.7,34.6,34.6,34.7,34.8,34.8,34.8,34.8
2021,35.0,34.6,34.9,34.9,34.9,34.8,34.8,34.7,34.8,34.7,34.8,34.8
2022,34.6,34.7,34.7,34.6,34.6,34.6,34.6,34.5,34.6,34.6,34.5,34.4